month,return_pct,return_abs_pct
2022-01,3.89,3.89
2022-02,5.82,9.93
2022-03,-1.34,8.46
2022-04,5.51,14.43
2022-05,5.34,20.55
2022-06,3.08,24.26
2022-07,-0.31,23.87
2022-08,4.71,29.7
2022-09,-7.67,19.75
2022-10,-4.17,14.76
2022-11,4.64,20.08
2022-12,19.94,44.03
2023-01,27.31,83.35
2023-02,10.32,102.28
2023-03,19.09,140.9
2023-04,0.03,140.97
2023-05,-8.32,120.93
2023-06,-1.72,117.13
2023-07,0.67,118.57
2023-08,11.82,144.41
2023-09,3.6,153.21
2023-10,4.94,165.7
2023-11,1.79,170.46
2023-12,7.98,192.06
2024-01,9.68,220.34
2024-02,0.56,222.13
2024-03,0.56,223.93
2024-04,5.35,241.25
2024-05,0.6,243.29
2024-06,6.52,265.68
2024-07,7.58,293.41
2024-08,2.18,301.99
2024-09,2.75,313.06
2024-10,7.4,343.64
2024-11,9.34,385.07
2024-12,-1.91,375.8
