symbol,month,raw_monthly_return_pct,capped_monthly_return_pct,excess_return_pct,max_drawdown_pct,trade_count,stop_loss_count,passes_return_floor,breaches_monthly_dd,is_losing_month
SOL-USDT-SWAP,2025-01,14.34,14.34,0.0,-3.9,11,5,False,False,False
SOL-USDT-SWAP,2025-02,-6.92,-6.92,0.0,-11.3,12,9,False,True,True
SOL-USDT-SWAP,2025-03,13.86,13.86,0.0,-2.16,8,3,False,False,False
SOL-USDT-SWAP,2025-04,0.9,0.9,0.0,-9.01,11,7,False,False,False
SOL-USDT-SWAP,2025-05,49.71,20.0,29.71,-5.78,29,10,True,False,False
SOL-USDT-SWAP,2025-06,-7.04,-7.04,0.0,-8.75,17,12,False,False,True
SOL-USDT-SWAP,2025-07,2.72,2.72,0.0,-8.09,24,15,False,False,False
SOL-USDT-SWAP,2025-08,2.77,2.77,0.0,-6.57,17,10,False,False,False
SOL-USDT-SWAP,2025-09,27.65,20.0,7.65,-5.2,27,14,True,False,False
SOL-USDT-SWAP,2025-10,3.37,3.37,0.0,-10.4,19,11,False,True,False
SOL-USDT-SWAP,2025-11,-10.83,-10.83,0.0,-5.38,21,14,False,False,True
SOL-USDT-SWAP,2025-12,5.65,5.65,0.0,-6.9,25,16,False,False,False
