month,return_pct,return_abs_pct,withdrawn
2021-12,15.25,15.25,0.0
2022-01,77.37,104.42,0.0
2022-02,17.72,140.64,0.0
2022-03,-3.13,133.11,0.0
2022-04,-13.31,102.08,0.0
2022-05,15.07,132.52,0.0
2022-06,40.87,227.56,0.0
2022-07,20.61,295.06,0.0
2022-08,29.18,410.32,0.0
2022-09,-22.18,297.13,0.0
2022-10,49.65,494.31,0.0
2022-11,13.54,574.76,0.0
2022-12,24.31,738.82,0.0
2023-01,30.0,990.45,0.0
2023-02,14.42,1147.74,0.0
2023-03,-1.67,1126.86,0.0
2023-04,30.86,1505.45,0.0
2023-05,4.51,1577.89,0.0
2023-06,21.1,1931.95,0.0
2023-07,1.89,1970.32,0.0
2023-08,16.48,2311.51,0.0
2023-09,-22.22,1775.55,0.0
2023-10,29.39,2326.78,0.0
2023-11,10.23,2575.06,0.0
2023-12,40.65,3662.35,0.0
2024-01,-13.35,3160.08,0.0
2024-02,35.32,4311.4,0.0
2024-03,-38.54,2611.07,0.0
2024-04,55.68,4120.6,0.0
2024-05,3.06,4249.71,0.0
2024-06,7.78,4588.02,0.0
2024-07,20.03,5526.89,0.0
2024-08,9.31,6050.85,0.0
2024-09,-11.08,5369.34,0.0
2024-10,27.82,6890.91,0.0
2024-11,-10.98,6123.03,0.0
2024-12,22.87,7546.11,0.0
2025-01,-32.77,5040.28,0.0
2025-02,87.86,9556.47,0.0
2025-03,14.7,10976.39,0.0
2025-04,-6.93,10208.77,0.0
2025-05,21.97,12473.28,0.0
2025-06,-10.21,11189.14,0.0
2025-07,-5.98,10514.24,0.0
2025-08,-19.8,8412.66,0.0
2025-09,9.73,9241.24,0.0
2025-10,-16.67,7684.17,0.0
2025-11,2.87,7907.22,0.0
2025-12,-55.72,3445.25,0.0
2026-01,30.75,4535.38,0.0
2026-02,-8.21,4154.6,0.0
2026-03,6.48,4430.26,0.0
2026-04,-48.06,2252.99,0.0
2026-05,-41.32,1280.62,0.0
2026-06,24.82,1623.26,0.0
