strategy,trades,pnl,win_rate,profit_factor,liquidation_events,long_pnl,short_pnl,pnl_2025_12,pnl_2026_04
freq_4pw_r03_catcma_011465,1080,559021.1276891888,27.12962962962963,1.3903765569807347,4,427363.1420654581,131657.98562373078,-58639.12955362526,-56901.12587358415
freq_4pw_r02_hyperband_004678,1439,269168.5973579057,34.05142460041696,1.1289283987629262,4,0.0,269168.5973579057,-17348.422118527233,-11713.498937296883
freq_4pw_r09_hyperband_010009,9,207846.83864544675,55.55555555555556,4.368174811365112,1,-6120.741363738998,213967.58000918577,0.0,0.0
sparse_0pw_r06_hyperband_001552,71,150796.36800595382,30.985915492957744,1.24244971791855,1,32370.056723699025,118426.31128225477,-22385.61227879994,-43067.8547739111
sparse_0pw_r11_island_2024_021423,71,119897.3343186296,39.436619718309856,1.2097815132526293,0,-9718.195549622103,129615.5298682517,-2425.799820972643,-9219.31368968319
sparse_0pw_r07_hyperband_019621,88,118391.60934998095,39.77272727272727,1.2066088435953255,2,-108557.1857125391,226948.79506252005,-21636.543354399397,-35009.44687628878
sparse_0pw_r09_catcma_013114,35,92886.34597401436,34.285714285714285,1.5002430444152455,1,92886.34597401436,0.0,-21627.70799671661,0.0
freq_4pw_r11_island_2024_002436,20,40842.26769390178,30.0,1.1631468308263557,0,-34894.48484572541,75736.75253962722,-19119.90027710023,0.0
sparse_0pw_r10_island_2022_000031,40,31216.90873861443,40.0,1.189800058323611,2,0.0,31216.90873861443,0.0,-4735.791031828967
sparse_0pw_r01_smac_018790,51,22658.16096808249,43.13725490196079,1.1205515261198744,0,10545.301554093277,12112.859413989223,-2808.652500062297,-15188.869380527103
freq_4pw_r05_island_2023_001587,14,15760.289800109927,28.57142857142857,1.1937744895235505,0,15760.289800109927,0.0,0.0,0.0
sparse_0pw_r12_hyperband_017877,51,208.20822928662437,33.33333333333333,1.0008392166405973,1,-48627.92677814799,48836.1350074346,-74186.442788274,-10430.895654553568
freq_4pw_r01_catcma_010978,55,-25702.50854883378,34.54545454545455,0.7077171280905348,0,-7380.705110250003,-18321.80343858377,0.0,1040.4362665000024
freq_4pw_r07_smac_003335,894,-27748.12437703078,19.12751677852349,0.9836815328120978,2,131472.9861177944,-159221.1104948251,-15839.099540270761,-37963.301847329654
freq_4pw_r04_catcma_013241,13,-35144.28975536402,38.46153846153847,0.5769197329648396,0,-35144.28975536402,0.0,0.0,0.0
freq_4pw_r10_hyperband_019141,37,-36471.00111423851,24.324324324324326,0.5303217211017156,0,-10437.270640346662,-26033.73047389186,0.0,1758.418436322765
sparse_0pw_r04_hyperband_020661,51,-37236.00066892453,47.05882352941176,0.9121603186377052,0,0.0,-37236.00066892453,0.0,-17071.05843449952
sparse_0pw_r03_island_2022_002323,65,-59981.94461800994,49.23076923076923,0.8359391420297259,2,0.0,-59981.94461800994,27283.745489368805,152.537838445925
freq_4pw_r08_catcma_008884,33,-93710.2322699066,18.181818181818183,0.8239998868730295,0,130092.41308340317,-223802.6453533097,-49181.413424301114,52966.94716350131
sparse_0pw_r08_dssv2_027026,119,-101922.63189686736,30.252100840336134,0.9032238311032131,0,0.0,-101922.63189686736,27477.48242264923,45650.4687877322
freq_4pw_r12_island_2022_020583,18,-102441.78112087645,16.666666666666664,0.5161306081808162,0,-105829.11280774325,3387.3316868668007,0.0,-15127.359673995335
sparse_0pw_r02_hyperband_028062,454,-221603.1761890394,25.55066079295154,0.8469368251594532,5,-73665.32269604865,-147937.8534929907,-22815.50533010464,-50435.85494909244
sparse_0pw_r05_hyperband_026425,51,-256883.65401693332,27.450980392156865,0.45708277792672136,0,-76345.46250254777,-180538.19151438551,-96698.21149383897,-26716.07032059837
freq_4pw_r06_hyperband_015967,896,-467507.99670938804,33.14732142857143,0.8379679457110142,3,-153467.3259429279,-314040.6707664601,-76462.53634099336,14222.50234478704
