section,group,metric,value
summary,all,trades,5655.0
summary,all,closed_trades,5654.0
summary,all,open_trades,1.0
summary,all,duration_hours_mean,14.194770663836813
summary,all,duration_hours_p50,6.558333333333334
summary,all,duration_hours_p95,64.18083333333323
summary,all,trades_per_day,3.4237279584268814
exit_reason,liquidation,count,27.0
exit_reason,liquidation,share,0.004774535809018567
exit_reason,open,count,1.0
exit_reason,open,share,0.00017683465959328028
exit_reason,stop_loss,count,4036.0
exit_reason,stop_loss,share,0.7137046861184793
exit_reason,take_profit,count,664.0
exit_reason,take_profit,share,0.11741821396993811
exit_reason,trailing_stop,count,600.0
exit_reason,trailing_stop,share,0.10610079575596817
exit_reason,ttl_expired,count,326.0
exit_reason,ttl_expired,share,0.057648099027409375
exit_reason,unsafe_liquidation_buffer,count,1.0
exit_reason,unsafe_liquidation_buffer,share,0.00017683465959328028
side_exit_reason,long:liquidation,count,9.0
side_exit_reason,long:open,count,1.0
side_exit_reason,long:stop_loss,count,1464.0
side_exit_reason,long:take_profit,count,91.0
side_exit_reason,long:trailing_stop,count,298.0
side_exit_reason,long:ttl_expired,count,152.0
side_exit_reason,short:liquidation,count,18.0
side_exit_reason,short:stop_loss,count,2572.0
side_exit_reason,short:take_profit,count,573.0
side_exit_reason,short:trailing_stop,count,302.0
side_exit_reason,short:ttl_expired,count,174.0
side_exit_reason,short:unsafe_liquidation_buffer,count,1.0
side_pnl,long,count,2014.0
side_pnl,long,sum,170302.51161357216
side_pnl,long,mean,84.55934042381935
side_pnl,long,median,-1097.0389379756293
side_pnl,short,count,3640.0
side_pnl,short,sum,-7961.796127869373
side_pnl,short,mean,-2.187306628535542
side_pnl,short,median,-827.6134611416751
exit_reason_pnl,liquidation,count,27.0
exit_reason_pnl,liquidation,sum,-119468.84540574109
exit_reason_pnl,liquidation,mean,-4424.772052064484
exit_reason_pnl,liquidation,median,-2751.486173836371
exit_reason_pnl,stop_loss,count,4036.0
exit_reason_pnl,stop_loss,sum,-15333632.917101402
exit_reason_pnl,stop_loss,mean,-3799.215291650496
exit_reason_pnl,stop_loss,median,-2170.5499863749756
exit_reason_pnl,take_profit,count,664.0
exit_reason_pnl,take_profit,sum,7360201.50984602
exit_reason_pnl,take_profit,mean,11084.640828081354
exit_reason_pnl,take_profit,median,5957.596173479702
exit_reason_pnl,trailing_stop,count,600.0
exit_reason_pnl,trailing_stop,sum,6082307.032707524
exit_reason_pnl,trailing_stop,mean,10137.178387845872
exit_reason_pnl,trailing_stop,median,7855.400572524325
exit_reason_pnl,ttl_expired,count,326.0
exit_reason_pnl,ttl_expired,sum,2172542.118345308
exit_reason_pnl,ttl_expired,mean,6664.239626826098
exit_reason_pnl,ttl_expired,median,2024.648943207503
exit_reason_pnl,unsafe_liquidation_buffer,count,1.0
exit_reason_pnl,unsafe_liquidation_buffer,sum,391.8170939642086
exit_reason_pnl,unsafe_liquidation_buffer,mean,391.8170939642086
exit_reason_pnl,unsafe_liquidation_buffer,median,391.8170939642086
margin,all,peak_open_positions,14.0
margin,all,peak_locked_margin,444153.59855199995
margin,all,peak_locked_margin_pct_initial,4442.127037752611
margin,all,min_available_balance_before,8582.755909154928
