month,return_pct,return_abs_pct,withdrawn
2021-12,3.13,3.13,0.0
2022-01,20.73,24.51,0.0
2022-02,0.95,25.69,0.0
2022-03,-12.2,10.36,0.0
2022-04,0.65,11.08,0.0
2022-05,7.46,19.36,0.0
2022-06,15.78,38.19,0.0
2022-07,6.19,46.74,0.0
2022-08,13.08,65.93,0.0
2022-09,-21.64,30.03,0.0
2022-10,10.73,43.97,0.0
2022-11,-3.31,39.2,0.0
2022-12,25.04,74.05,0.0
2023-01,2.74,78.82,0.0
2023-02,12.08,100.41,0.0
2023-03,10.13,120.72,0.0
2023-04,-1.66,117.05,0.0
2023-05,-3.4,109.68,0.0
2023-06,12.48,135.86,0.0
2023-07,-3.6,127.38,0.0
2023-08,32.25,200.7,0.0
2023-09,-6.32,181.69,0.0
2023-10,2.47,188.63,0.0
2023-11,-4.65,175.21,0.0
2023-12,0.52,176.63,0.0
2024-01,3.04,185.05,0.0
2024-02,7.86,207.45,0.0
2024-03,-5.02,192.02,0.0
2024-04,10.14,221.62,0.0
2024-05,0.94,224.65,0.0
2024-06,-10.07,191.96,0.0
2024-07,9.69,220.24,0.0
2024-08,-5.87,201.43,0.0
2024-09,-1.86,195.84,0.0
2024-10,14.38,238.38,0.0
2024-11,-2.45,230.07,0.0
2024-12,8.42,257.86,0.0
2025-01,9.03,290.17,0.0
2025-02,27.8,398.65,0.0
2025-03,18.79,492.35,0.0
2025-04,8.66,543.63,0.0
2025-05,25.26,706.18,0.0
2025-06,0.32,708.78,0.0
2025-07,0.18,710.22,0.0
2025-08,-5.95,662.02,0.0
2025-09,2.44,680.58,0.0
2025-10,-3.97,649.57,0.0
2025-11,-7.44,593.79,0.0
2025-12,-17.92,469.5,0.0
2026-01,35.53,671.84,0.0
2026-02,9.08,741.91,0.0
2026-03,-0.77,735.43,0.0
2026-04,-27.14,508.73,0.0
2026-05,-11.34,439.68,0.0
2026-06,15.02,520.74,0.0
