section,group,metric,value
summary,all,trades,3278.0
summary,all,closed_trades,3277.0
summary,all,open_trades,1.0
summary,all,duration_hours_mean,16.560553351642763
summary,all,duration_hours_p50,8.516666666666667
summary,all,duration_hours_p95,66.68666666666664
summary,all,trades_per_day,1.9838111808760117
exit_reason,liquidation,count,19.0
exit_reason,liquidation,share,0.005796217205613179
exit_reason,open,count,1.0
exit_reason,open,share,0.0003050640634533252
exit_reason,stop_loss,count,2346.0
exit_reason,stop_loss,share,0.7156802928615009
exit_reason,take_profit,count,550.0
exit_reason,take_profit,share,0.16778523489932887
exit_reason,trailing_stop,count,240.0
exit_reason,trailing_stop,share,0.07321537522879805
exit_reason,ttl_expired,count,118.0
exit_reason,ttl_expired,share,0.03599755948749237
exit_reason,unsafe_liquidation_buffer,count,4.0
exit_reason,unsafe_liquidation_buffer,share,0.0012202562538133007
side_exit_reason,long:liquidation,count,8.0
side_exit_reason,long:open,count,1.0
side_exit_reason,long:stop_loss,count,662.0
side_exit_reason,long:take_profit,count,41.0
side_exit_reason,long:trailing_stop,count,115.0
side_exit_reason,long:ttl_expired,count,63.0
side_exit_reason,short:liquidation,count,11.0
side_exit_reason,short:stop_loss,count,1684.0
side_exit_reason,short:take_profit,count,509.0
side_exit_reason,short:trailing_stop,count,125.0
side_exit_reason,short:ttl_expired,count,55.0
side_exit_reason,short:unsafe_liquidation_buffer,count,4.0
side_pnl,long,count,889.0
side_pnl,long,sum,16482.166004818162
side_pnl,long,mean,18.540119240515367
side_pnl,long,median,-133.02568074169545
side_pnl,short,count,2388.0
side_pnl,short,sum,35597.803801871174
side_pnl,short,mean,14.906953015858951
side_pnl,short,median,-97.4660329563595
exit_reason_pnl,liquidation,count,19.0
exit_reason_pnl,liquidation,sum,-5867.750936206224
exit_reason_pnl,liquidation,mean,-308.82899664243286
exit_reason_pnl,liquidation,median,-259.4074355034986
exit_reason_pnl,stop_loss,count,2346.0
exit_reason_pnl,stop_loss,sum,-511117.08327862964
exit_reason_pnl,stop_loss,mean,-217.8674694282309
exit_reason_pnl,stop_loss,median,-158.8070273518319
exit_reason_pnl,take_profit,count,550.0
exit_reason_pnl,take_profit,sum,313111.58333916205
exit_reason_pnl,take_profit,mean,569.2937878893855
exit_reason_pnl,take_profit,median,433.3275691007784
exit_reason_pnl,trailing_stop,count,240.0
exit_reason_pnl,trailing_stop,sum,203897.15274535824
exit_reason_pnl,trailing_stop,mean,849.5714697723259
exit_reason_pnl,trailing_stop,median,691.4098055574993
exit_reason_pnl,ttl_expired,count,118.0
exit_reason_pnl,ttl_expired,sum,51723.88154815315
exit_reason_pnl,ttl_expired,mean,438.3379792216369
exit_reason_pnl,ttl_expired,median,254.76257103209002
exit_reason_pnl,unsafe_liquidation_buffer,count,4.0
exit_reason_pnl,unsafe_liquidation_buffer,sum,332.18638885188204
exit_reason_pnl,unsafe_liquidation_buffer,mean,83.04659721297051
exit_reason_pnl,unsafe_liquidation_buffer,median,38.111440981680516
margin,all,peak_open_positions,19.0
margin,all,peak_locked_margin,15645.357556196868
margin,all,peak_locked_margin_pct_initial,156.45357556196868
margin,all,min_available_balance_before,8827.715120359266
