strategy,trades,pnl,win_rate,profit_factor,liquidation_events,long_pnl,short_pnl,pnl_2025_12,pnl_2026_04
sparse_0pw_r07_hyperband_019621,93,485914.93698652234,44.086021505376344,1.7903150895099291,3,141915.09190406656,343999.84508245584,0.0,-45025.26104867057
freq_4pw_r03_catcma_011465,1217,338939.30298697815,24.815119145439606,1.148520804732393,5,389687.7914658771,-50748.48847889884,-125228.6587508992,-146443.19154093342
freq_4pw_r11_island_2024_002436,30,156550.70381140057,26.666666666666668,1.3327128917076012,0,312029.4523770479,-155478.74856564734,-58053.98135320055,0.0
freq_4pw_r09_hyperband_010009,15,134089.29939666332,53.333333333333336,2.7342975102336466,1,-11567.370565486504,145656.66996214984,0.0,0.0
freq_4pw_r02_hyperband_004678,1520,129283.07952360791,33.75,1.0442379392481924,7,0.0,129283.07952360791,30702.219736861756,-34826.961245056445
sparse_0pw_r12_hyperband_017877,78,115647.97707874763,37.17948717948718,1.2078705984002762,2,32126.64196944345,83521.33510930417,-127515.99856946072,-28552.595852133694
sparse_0pw_r11_island_2024_021423,84,53658.45122484747,39.285714285714285,1.0581904815858343,0,-221107.75258195496,274766.2038068024,-6149.896571586782,0.0
sparse_0pw_r01_smac_018790,60,2556.008146098793,50.0,1.0101105860367925,0,-3748.7909818643675,6304.79912796313,-8537.398829049673,0.0
sparse_0pw_r10_island_2022_000031,46,-29993.10284705669,30.434782608695656,0.8972509616684212,2,0.0,-29993.10284705669,0.0,-15409.549384402162
freq_4pw_r05_island_2023_001587,14,-54292.536612871525,28.57142857142857,0.6041709283463252,0,-54292.536612871525,0.0,0.0,0.0
sparse_0pw_r06_hyperband_001552,80,-221044.8721149308,33.75,0.7842488795479678,1,-75610.59513412432,-145434.27698080655,-156797.42040949984,-108305.00665902407
sparse_0pw_r09_catcma_013114,42,-237349.79213774772,28.57142857142857,0.30909632967038164,1,-237349.79213774772,0.0,-60498.29462599982,0.0
