section,group,metric,value
summary,all,trades,3279.0
summary,all,closed_trades,3278.0
summary,all,open_trades,1.0
summary,all,duration_hours_mean,16.91767846247712
summary,all,duration_hours_p50,9.05
summary,all,duration_hours_p95,66.67749999999994
summary,all,trades_per_day,1.984416370375974
exit_reason,liquidation,count,19.0
exit_reason,liquidation,share,0.005794449527294907
exit_reason,open,count,1.0
exit_reason,open,share,0.0003049710277523635
exit_reason,stop_loss,count,2323.0
exit_reason,stop_loss,share,0.7084476974687405
exit_reason,take_profit,count,551.0
exit_reason,take_profit,share,0.1680390362915523
exit_reason,trailing_stop,count,209.0
exit_reason,trailing_stop,share,0.06373894480024397
exit_reason,ttl_expired,count,173.0
exit_reason,ttl_expired,share,0.05275998780115889
exit_reason,unsafe_liquidation_buffer,count,3.0
exit_reason,unsafe_liquidation_buffer,share,0.0009149130832570906
side_exit_reason,long:liquidation,count,8.0
side_exit_reason,long:open,count,1.0
side_exit_reason,long:stop_loss,count,664.0
side_exit_reason,long:take_profit,count,54.0
side_exit_reason,long:trailing_stop,count,106.0
side_exit_reason,long:ttl_expired,count,106.0
side_exit_reason,short:liquidation,count,11.0
side_exit_reason,short:stop_loss,count,1659.0
side_exit_reason,short:take_profit,count,497.0
side_exit_reason,short:trailing_stop,count,103.0
side_exit_reason,short:ttl_expired,count,67.0
side_exit_reason,short:unsafe_liquidation_buffer,count,3.0
side_pnl,long,count,938.0
side_pnl,long,sum,272082.13970238576
side_pnl,long,mean,290.0662470174688
side_pnl,long,median,-611.8856697070912
side_pnl,short,count,2340.0
side_pnl,short,sum,601877.3157398738
side_pnl,short,mean,257.21252809396316
side_pnl,short,median,-445.0207446140141
exit_reason_pnl,liquidation,count,19.0
exit_reason_pnl,liquidation,sum,-48260.92162845928
exit_reason_pnl,liquidation,mean,-2540.048506761015
exit_reason_pnl,liquidation,median,-1319.6014222466174
exit_reason_pnl,stop_loss,count,2323.0
exit_reason_pnl,stop_loss,sum,-9633110.984353958
exit_reason_pnl,stop_loss,mean,-4146.840716467481
exit_reason_pnl,stop_loss,median,-1268.4280065589173
exit_reason_pnl,take_profit,count,551.0
exit_reason_pnl,take_profit,sum,6219067.483187133
exit_reason_pnl,take_profit,mean,11286.87383518536
exit_reason_pnl,take_profit,median,3797.2749180000283
exit_reason_pnl,trailing_stop,count,209.0
exit_reason_pnl,trailing_stop,sum,3135627.436307599
exit_reason_pnl,trailing_stop,mean,15003.002087596167
exit_reason_pnl,trailing_stop,median,6734.456703100008
exit_reason_pnl,ttl_expired,count,173.0
exit_reason_pnl,ttl_expired,sum,1193122.3588742055
exit_reason_pnl,ttl_expired,mean,6896.661033954945
exit_reason_pnl,ttl_expired,median,1014.7893997799996
exit_reason_pnl,unsafe_liquidation_buffer,count,3.0
exit_reason_pnl,unsafe_liquidation_buffer,sum,7514.083055730339
exit_reason_pnl,unsafe_liquidation_buffer,mean,2504.694351910113
exit_reason_pnl,unsafe_liquidation_buffer,median,3.0873632366168806
margin,all,peak_open_positions,10.0
margin,all,peak_locked_margin,502664.9176105536
margin,all,peak_locked_margin_pct_initial,5026.649176105537
margin,all,min_available_balance_before,9253.986606894088
