month,return_pct,return_abs_pct,withdrawn
2021-12,16.54,16.54,0.0
2022-01,35.12,57.47,0.0
2022-02,-2.23,53.95,0.0
2022-03,-16.94,27.88,0.0
2022-04,0.82,28.93,0.0
2022-05,11.7,44.01,0.0
2022-06,37.56,98.1,0.0
2022-07,-3.67,90.83,0.0
2022-08,20.54,130.04,0.0
2022-09,-21.98,79.48,0.0
2022-10,42.95,156.57,0.0
2022-11,17.76,202.14,0.0
2022-12,19.26,260.34,0.0
2023-01,20.29,333.45,0.0
2023-02,14.09,394.51,0.0
2023-03,23.55,510.99,0.0
2023-04,17.74,619.4,0.0
2023-05,-19.12,481.84,0.0
2023-06,9.02,534.35,0.0
2023-07,1.29,542.52,0.0
2023-08,38.21,788.03,0.0
2023-09,-5.36,740.41,0.0
2023-10,19.37,903.17,0.0
2023-11,-6.23,840.69,0.0
2023-12,-3.28,809.87,0.0
2024-01,6.16,865.94,0.0
2024-02,26.52,1122.07,0.0
2024-03,-9.04,1011.64,0.0
2024-04,18.94,1222.19,0.0
2024-05,-1.54,1201.87,0.0
2024-06,-7.45,1104.82,0.0
2024-07,10.25,1228.29,0.0
2024-08,-21.73,939.66,0.0
2024-09,13.44,1079.37,0.0
2024-10,13.45,1238.0,0.0
2024-11,-6.67,1148.79,0.0
2024-12,10.1,1274.95,0.0
2025-01,6.04,1357.94,0.0
2025-02,56.33,2179.18,0.0
2025-03,42.11,3138.95,0.0
2025-04,4.19,3274.64,0.0
2025-05,25.76,4143.9,0.0
2025-06,14.04,4739.96,0.0
2025-07,10.98,5271.62,0.0
2025-08,-2.21,5152.86,0.0
2025-09,7.57,5550.72,0.0
2025-10,-10.85,4937.45,0.0
2025-11,21.7,6030.62,0.0
2025-12,-29.23,4238.55,0.0
2026-01,36.27,5811.98,0.0
2026-02,0.21,5824.51,0.0
2026-03,-6.76,5424.13,0.0
2026-04,-43.17,3039.15,0.0
2026-05,-13.39,2618.82,0.0
2026-06,25.07,3300.47,0.0
