section,group,metric,value
summary,all,trades,3292.0
summary,all,closed_trades,3291.0
summary,all,open_trades,1.0
summary,all,duration_hours_mean,16.338179884533577
summary,all,duration_hours_p50,8.766666666666667
summary,all,duration_hours_p95,64.20833333333333
summary,all,trades_per_day,1.9922838338754822
exit_reason,liquidation,count,18.0
exit_reason,liquidation,share,0.0054678007290400975
exit_reason,open,count,1.0
exit_reason,open,share,0.00030376670716889426
exit_reason,stop_loss,count,2322.0
exit_reason,stop_loss,share,0.7053462940461726
exit_reason,take_profit,count,546.0
exit_reason,take_profit,share,0.16585662211421628
exit_reason,trailing_stop,count,230.0
exit_reason,trailing_stop,share,0.06986634264884568
exit_reason,ttl_expired,count,171.0
exit_reason,ttl_expired,share,0.051944106925880924
exit_reason,unsafe_liquidation_buffer,count,4.0
exit_reason,unsafe_liquidation_buffer,share,0.001215066828675577
side_exit_reason,long:liquidation,count,6.0
side_exit_reason,long:open,count,1.0
side_exit_reason,long:stop_loss,count,632.0
side_exit_reason,long:take_profit,count,42.0
side_exit_reason,long:trailing_stop,count,113.0
side_exit_reason,long:ttl_expired,count,104.0
side_exit_reason,short:liquidation,count,12.0
side_exit_reason,short:stop_loss,count,1690.0
side_exit_reason,short:take_profit,count,504.0
side_exit_reason,short:trailing_stop,count,117.0
side_exit_reason,short:ttl_expired,count,67.0
side_exit_reason,short:unsafe_liquidation_buffer,count,4.0
side_pnl,long,count,897.0
side_pnl,long,sum,98167.07159391044
side_pnl,long,mean,109.43932173234163
side_pnl,long,median,-389.43409680667276
side_pnl,short,count,2394.0
side_pnl,short,sum,231909.84987695242
side_pnl,short,mean,96.87128232119984
side_pnl,short,median,-269.5066935330717
exit_reason_pnl,liquidation,count,18.0
exit_reason_pnl,liquidation,sum,-32113.30977230141
exit_reason_pnl,liquidation,mean,-1784.0727651278562
exit_reason_pnl,liquidation,median,-856.4858922594733
exit_reason_pnl,stop_loss,count,2322.0
exit_reason_pnl,stop_loss,sum,-3553392.1131547615
exit_reason_pnl,stop_loss,mean,-1530.3152942096303
exit_reason_pnl,stop_loss,median,-591.7030689479757
exit_reason_pnl,take_profit,count,546.0
exit_reason_pnl,take_profit,sum,2165788.281576617
exit_reason_pnl,take_profit,mean,3966.645204352779
exit_reason_pnl,take_profit,median,1747.010269225268
exit_reason_pnl,trailing_stop,count,230.0
exit_reason_pnl,trailing_stop,sum,1310081.0657122051
exit_reason_pnl,trailing_stop,mean,5696.004633531326
exit_reason_pnl,trailing_stop,median,3193.704751038006
exit_reason_pnl,ttl_expired,count,171.0
exit_reason_pnl,ttl_expired,sum,439782.65412175114
exit_reason_pnl,ttl_expired,mean,2571.828386676907
exit_reason_pnl,ttl_expired,median,431.0574539229795
exit_reason_pnl,unsafe_liquidation_buffer,count,4.0
exit_reason_pnl,unsafe_liquidation_buffer,sum,-69.65701264883256
exit_reason_pnl,unsafe_liquidation_buffer,mean,-17.41425316220814
exit_reason_pnl,unsafe_liquidation_buffer,median,18.425189379230154
margin,all,peak_open_positions,13.0
margin,all,peak_locked_margin,208383.2990045143
margin,all,peak_locked_margin_pct_initial,2083.832990045143
margin,all,min_available_balance_before,9253.986606894088
