month,return_pct,return_abs_pct,withdrawn
2021-12,13.74,13.74,0.0
2022-01,33.61,51.97,0.0
2022-02,-8.11,39.65,0.0
2022-03,-23.03,7.49,0.0
2022-04,-4.34,2.83,0.0
2022-05,18.06,21.4,0.0
2022-06,40.34,70.37,0.0
2022-07,1.05,72.16,0.0
2022-08,9.1,87.83,0.0
2022-09,-21.65,47.16,0.0
2022-10,28.3,88.81,0.0
2022-11,17.68,122.2,0.0
2022-12,26.59,181.28,0.0
2023-01,31.14,268.89,0.0
2023-02,10.14,306.27,0.0
2023-03,22.28,396.78,0.0
2023-04,15.48,473.68,0.0
2023-05,11.92,542.05,0.0
2023-06,11.13,613.49,0.0
2023-07,-0.46,610.2,0.0
2023-08,13.78,708.05,0.0
2023-09,1.36,719.05,0.0
2023-10,12.79,823.78,0.0
2023-11,0.15,825.13,0.0
2023-12,8.23,901.3,0.0
2024-01,13.46,1036.07,0.0
2024-02,15.89,1216.59,0.0
2024-03,-9.34,1093.67,0.0
2024-04,-3.69,1049.66,0.0
2024-05,16.28,1236.79,0.0
2024-06,-5.83,1158.79,0.0
2024-07,22.52,1442.29,0.0
2024-08,-0.49,1434.67,0.0
2024-09,14.09,1650.86,0.0
2024-10,18.63,1977.05,0.0
2024-11,-9.51,1779.42,0.0
2024-12,1.2,1802.0,0.0
2025-01,8.15,1957.0,0.0
2025-02,39.75,2774.57,0.0
2025-03,42.09,3984.37,0.0
2025-04,-4.12,3815.99,0.0
2025-05,7.1,4094.19,0.0
2025-06,24.81,5134.97,0.0
2025-07,4.69,5380.7,0.0
2025-08,26.93,6856.91,0.0
2025-09,19.43,8208.6,0.0
2025-10,9.14,8967.78,0.0
2025-11,30.8,11761.08,0.0
2025-12,-8.03,10808.44,0.0
2026-01,27.98,13860.84,0.0
2026-02,1.44,14062.29,0.0
2026-03,3.3,14530.04,0.0
2026-04,-17.33,11995.38,0.0
2026-05,7.7,12926.49,0.0
2026-06,4.42,13501.97,0.0
