strategy,trades,pnl,win_rate,profit_factor,liquidation_events,long_pnl,short_pnl,pnl_2025_12,pnl_2026_04
sparse_0pw_r07_hyperband_019621,89,300675.73627625394,50.56179775280899,1.5287221196095546,2,59382.55304160459,241293.18323464936,-11690.008192082489,-58520.07640559741
sparse_0pw_r12_hyperband_017877,57,284411.41181323666,45.614035087719294,3.0440604214665723,3,194302.72435133232,90108.68746190432,0.0,0.0
freq_4pw_r03_catcma_011465,450,194206.20811409052,28.22222222222222,1.3366664027022044,2,125871.10691727047,68335.10119682002,-24156.980342751485,-53345.98207958708
sparse_0pw_r11_island_2024_021423,56,190245.0306242591,39.285714285714285,1.4418828528837973,0,96035.68621248816,94209.34441177094,38909.41526184906,-53975.87845440011
freq_4pw_r11_island_2024_002436,17,135246.52607927282,29.411764705882355,2.0124202084910494,0,103267.3751593648,31979.15091990804,0.0,0.0
sparse_0pw_r10_island_2022_000031,27,135141.53231027236,25.925925925925924,2.4928017325523375,0,0.0,135141.53231027236,0.0,0.0
sparse_0pw_r06_hyperband_001552,28,104319.96952271719,39.285714285714285,1.410997893264939,0,11707.94559851849,92612.02392419867,-34552.82198550011,6066.261739800264
freq_4pw_r09_hyperband_010009,13,91600.36709670379,61.53846153846154,6.710248146670763,1,26341.470682756153,65258.89641394764,0.0,0.0
freq_4pw_r02_hyperband_004678,742,69035.25052720435,33.153638814016176,1.0731186584218513,1,0.0,69035.25052720435,-16422.710281747022,-49735.47504759301
sparse_0pw_r09_catcma_013114,15,1999.5570390474222,46.666666666666664,1.1191437153137271,0,1999.5570390474222,0.0,0.0,0.0
freq_4pw_r05_island_2023_001587,9,-55313.639458889316,44.44444444444444,0.3817285008592159,0,-55313.639458889316,0.0,0.0,0.0
sparse_0pw_r01_smac_018790,50,-101229.68512306813,48.0,0.5096568967981705,0,-103278.16507497197,2048.4799519038115,-47351.10545371923,-43955.42134137311
