section,group,metric,value
summary,all,trades,1553.0
summary,all,closed_trades,1552.0
summary,all,open_trades,1.0
summary,all,duration_hours_mean,16.917966065292095
summary,all,duration_hours_p50,9.008333333333333
summary,all,duration_hours_p95,67.72249999999981
summary,all,trades_per_day,0.940238641810247
exit_reason,liquidation,count,9.0
exit_reason,liquidation,share,0.005795235028976175
exit_reason,open,count,1.0
exit_reason,open,share,0.000643915003219575
exit_reason,stop_loss,count,1043.0
exit_reason,stop_loss,share,0.6716033483580167
exit_reason,take_profit,count,296.0
exit_reason,take_profit,share,0.1905988409529942
exit_reason,trailing_stop,count,105.0
exit_reason,trailing_stop,share,0.06761107533805538
exit_reason,ttl_expired,count,99.0
exit_reason,ttl_expired,share,0.06374758531873792
side_exit_reason,long:liquidation,count,2.0
side_exit_reason,long:open,count,1.0
side_exit_reason,long:stop_loss,count,261.0
side_exit_reason,long:take_profit,count,43.0
side_exit_reason,long:trailing_stop,count,44.0
side_exit_reason,long:ttl_expired,count,67.0
side_exit_reason,short:liquidation,count,7.0
side_exit_reason,short:stop_loss,count,782.0
side_exit_reason,short:take_profit,count,253.0
side_exit_reason,short:trailing_stop,count,61.0
side_exit_reason,short:ttl_expired,count,32.0
side_pnl,long,count,417.0
side_pnl,long,sum,460316.6144685213
side_pnl,long,mean,1103.8767733058066
side_pnl,long,median,-309.21703247999864
side_pnl,short,count,1135.0
side_pnl,short,sum,890021.6503525791
side_pnl,short,mean,784.1600443635058
side_pnl,short,median,-263.08579499999985
exit_reason_pnl,liquidation,count,9.0
exit_reason_pnl,liquidation,sum,-31271.386044732
exit_reason_pnl,liquidation,mean,-3474.598449414667
exit_reason_pnl,liquidation,median,-1237.3649874285206
exit_reason_pnl,stop_loss,count,1043.0
exit_reason_pnl,stop_loss,sum,-3340595.825817212
exit_reason_pnl,stop_loss,mean,-3202.872316219762
exit_reason_pnl,stop_loss,median,-701.3528007000015
exit_reason_pnl,take_profit,count,296.0
exit_reason_pnl,take_profit,sum,2948621.6875246624
exit_reason_pnl,take_profit,mean,9961.559755150887
exit_reason_pnl,take_profit,median,2595.2470165504556
exit_reason_pnl,trailing_stop,count,105.0
exit_reason_pnl,trailing_stop,sum,1252508.4464325486
exit_reason_pnl,trailing_stop,mean,11928.651870786176
exit_reason_pnl,trailing_stop,median,4307.722196799998
exit_reason_pnl,ttl_expired,count,99.0
exit_reason_pnl,ttl_expired,sum,521075.3427258302
exit_reason_pnl,ttl_expired,mean,5263.387300260912
exit_reason_pnl,ttl_expired,median,1156.4923817149981
margin,all,peak_open_positions,6.0
margin,all,peak_locked_margin,520478.22917999997
margin,all,peak_locked_margin_pct_initial,5204.782291799999
margin,all,min_available_balance_before,9194.701840355012
