month,return_pct,return_abs_pct,withdrawn
2021-12,13.74,13.74,0.0
2022-01,17.9,34.1,0.0
2022-02,-8.11,23.23,0.0
2022-03,-23.02,-5.14,0.0
2022-04,-4.34,-9.26,0.0
2022-05,1.02,-8.34,0.0
2022-06,40.34,28.63,0.0
2022-07,4.1,33.91,0.0
2022-08,9.1,46.1,0.0
2022-09,-14.72,24.59,0.0
2022-10,23.0,53.25,0.0
2022-11,8.76,66.67,0.0
2022-12,26.59,110.99,0.0
2023-01,13.54,139.56,0.0
2023-02,10.14,163.84,0.0
2023-03,24.61,228.78,0.0
2023-04,10.65,263.78,0.0
2023-05,11.89,307.04,0.0
2023-06,12.69,358.69,0.0
2023-07,-0.46,356.58,0.0
2023-08,13.86,419.83,0.0
2023-09,1.36,426.91,0.0
2023-10,21.35,539.38,0.0
2023-11,0.15,540.32,0.0
2023-12,1.68,551.06,0.0
2024-01,13.42,638.46,0.0
2024-02,18.98,778.6,0.0
2024-03,-12.41,669.53,0.0
2024-04,-3.71,641.01,0.0
2024-05,17.11,767.76,0.0
2024-06,-9.93,681.57,0.0
2024-07,22.79,859.7,0.0
2024-08,-0.49,854.96,0.0
2024-09,12.69,976.19,0.0
2024-10,20.24,1194.03,0.0
2024-11,-9.5,1071.05,0.0
2024-12,-4.99,1012.57,0.0
2025-01,8.16,1103.31,0.0
2025-02,38.64,1568.24,0.0
2025-03,44.85,2316.48,0.0
2025-04,9.69,2550.74,0.0
2025-05,7.01,2736.53,0.0
2025-06,17.06,3220.31,0.0
2025-07,6.01,3419.76,0.0
2025-08,28.78,4432.78,0.0
2025-09,22.55,5454.97,0.0
2025-10,4.37,5697.91,0.0
2025-11,30.87,7487.52,0.0
2025-12,-4.62,7137.15,0.0
2026-01,42.11,10184.36,0.0
2026-02,1.44,10332.76,0.0
2026-03,5.51,10907.23,0.0
2026-04,-14.26,9337.43,0.0
2026-05,5.78,9882.47,0.0
2026-06,10.03,10884.03,0.0
