strategy,trades,pnl,win_rate,profit_factor,liquidation_events,long_pnl,short_pnl,pnl_2025_12,pnl_2026_04
sparse_0pw_r07_hyperband_019621,91,216260.3733622012,50.54945054945055,1.4996083506666005,2,57312.63532228739,158947.73803991388,-11865.232919232603,-44028.85886620662
sparse_0pw_r12_hyperband_017877,58,183681.0346464656,46.55172413793103,2.8894402751799233,3,132429.01583690385,51252.01880956175,0.0,0.0
sparse_0pw_r11_island_2024_021423,55,144621.46134732343,38.18181818181819,1.4921929702276058,0,71615.89117688008,73005.57017044337,24890.295228899642,-40609.92840319993
freq_4pw_r03_catcma_011465,458,141867.39876544397,28.16593886462882,1.3410088192304133,2,81493.26581217273,60374.13295327124,-15453.191947504278,-39485.940021249386
sparse_0pw_r10_island_2022_000031,28,113877.89404948795,28.57142857142857,2.6990163712246833,0,0.0,113877.89404948795,0.0,0.0
freq_4pw_r11_island_2024_002436,17,82684.79405109734,29.411764705882355,1.9438424985331917,0,63977.7393256985,18707.05472539884,0.0,0.0
freq_4pw_r02_hyperband_004678,746,73912.46106998881,33.64611260053619,1.1133298344940972,1,0.0,73912.46106998881,-10505.541276813728,-37419.58838464429
freq_4pw_r09_hyperband_010009,14,50361.60753680636,57.14285714285714,4.498934773188688,1,12841.282037851328,37520.32549895503,0.0,0.0
sparse_0pw_r09_catcma_013114,17,50215.42874563337,52.94117647058824,5.435411897838018,0,50215.42874563337,0.0,0.0,0.0
sparse_0pw_r06_hyperband_001552,31,31028.488093371503,35.483870967741936,1.1497711001293172,0,-31003.631287002765,62032.11938037429,-22103.391492000097,4564.084701300232
