section,group,metric,value
summary,all,trades,1515.0
summary,all,closed_trades,1514.0
summary,all,open_trades,1.0
summary,all,duration_hours_mean,16.753445618670188
summary,all,duration_hours_p50,8.5
summary,all,duration_hours_p95,65.72083333333325
summary,all,trades_per_day,0.9172321586236473
exit_reason,liquidation,count,9.0
exit_reason,liquidation,share,0.005940594059405941
exit_reason,open,count,1.0
exit_reason,open,share,0.0006600660066006601
exit_reason,stop_loss,count,1037.0
exit_reason,stop_loss,share,0.6844884488448845
exit_reason,take_profit,count,299.0
exit_reason,take_profit,share,0.19735973597359735
exit_reason,trailing_stop,count,106.0
exit_reason,trailing_stop,share,0.06996699669966996
exit_reason,ttl_expired,count,63.0
exit_reason,ttl_expired,share,0.041584158415841586
side_exit_reason,long:liquidation,count,2.0
side_exit_reason,long:open,count,1.0
side_exit_reason,long:stop_loss,count,254.0
side_exit_reason,long:take_profit,count,44.0
side_exit_reason,long:trailing_stop,count,45.0
side_exit_reason,long:ttl_expired,count,33.0
side_exit_reason,short:liquidation,count,7.0
side_exit_reason,short:stop_loss,count,783.0
side_exit_reason,short:take_profit,count,255.0
side_exit_reason,short:trailing_stop,count,61.0
side_exit_reason,short:ttl_expired,count,30.0
side_pnl,long,count,378.0
side_pnl,long,sum,438881.62697042467
side_pnl,long,mean,1161.0625052127637
side_pnl,long,median,-237.45824065847103
side_pnl,short,count,1136.0
side_pnl,short,sum,649629.3146973945
side_pnl,short,mean,571.8567911068614
side_pnl,short,median,-174.07216892455034
exit_reason_pnl,liquidation,count,9.0
exit_reason_pnl,liquidation,sum,-22590.02388883816
exit_reason_pnl,liquidation,mean,-2510.0026543153513
exit_reason_pnl,liquidation,median,-816.927210869421
exit_reason_pnl,stop_loss,count,1037.0
exit_reason_pnl,stop_loss,sum,-2229886.1684068516
exit_reason_pnl,stop_loss,mean,-2150.324173969963
exit_reason_pnl,stop_loss,median,-460.2596200999973
exit_reason_pnl,take_profit,count,299.0
exit_reason_pnl,take_profit,sum,2076074.5375707655
exit_reason_pnl,take_profit,mean,6943.393102243363
exit_reason_pnl,take_profit,median,1795.600519999995
exit_reason_pnl,trailing_stop,count,106.0
exit_reason_pnl,trailing_stop,sum,924022.8548535168
exit_reason_pnl,trailing_stop,mean,8717.196743901102
exit_reason_pnl,trailing_stop,median,2708.5525895110413
exit_reason_pnl,ttl_expired,count,63.0
exit_reason_pnl,ttl_expired,sum,340889.74153922667
exit_reason_pnl,ttl_expired,mean,5410.948278400423
exit_reason_pnl,ttl_expired,median,1194.2572747764093
margin,all,peak_open_positions,6.0
margin,all,peak_locked_margin,313274.510432
margin,all,peak_locked_margin_pct_initial,3132.7451043199994
margin,all,min_available_balance_before,8113.552971920025
