month,return_pct,return_abs_pct,withdrawn
2021-12,13.32,13.32,0.0
2022-01,20.43,36.46,0.0
2022-02,-7.48,26.26,0.0
2022-03,-16.86,4.97,0.0
2022-04,-6.11,-1.44,0.0
2022-05,-4.44,-5.82,0.0
2022-06,37.45,29.45,0.0
2022-07,1.85,31.85,0.0
2022-08,-0.67,30.97,0.0
2022-09,-12.11,15.1,0.0
2022-10,28.82,48.27,0.0
2022-11,15.66,71.49,0.0
2022-12,22.49,110.06,0.0
2023-01,13.4,138.2,0.0
2023-02,10.57,163.37,0.0
2023-03,20.96,218.58,0.0
2023-04,5.85,237.21,0.0
2023-05,13.77,283.66,0.0
2023-06,24.16,376.36,0.0
2023-07,-4.42,355.31,0.0
2023-08,13.89,418.54,0.0
2023-09,0.55,421.4,0.0
2023-10,19.01,520.53,0.0
2023-11,-0.47,517.6,0.0
2023-12,4.64,546.26,0.0
2024-01,8.36,600.28,0.0
2024-02,12.32,686.57,0.0
2024-03,-19.81,530.72,0.0
2024-04,-2.28,516.36,0.0
2024-05,10.43,580.63,0.0
2024-06,-9.09,518.8,0.0
2024-07,21.26,650.38,0.0
2024-08,-3.11,627.01,0.0
2024-09,3.35,651.36,0.0
2024-10,6.27,698.44,0.0
2024-11,-15.57,574.09,0.0
2024-12,-9.99,506.74,0.0
2025-01,12.6,583.18,0.0
2025-02,27.07,768.09,0.0
2025-03,37.03,1089.53,0.0
2025-04,13.53,1250.46,0.0
2025-05,0.89,1262.45,0.0
2025-06,18.47,1514.07,0.0
2025-07,11.55,1700.56,0.0
2025-08,17.98,2024.34,0.0
2025-09,24.54,2545.66,0.0
2025-10,8.35,2766.46,0.0
2025-11,39.92,3910.75,0.0
2025-12,-2.95,3792.36,0.0
2026-01,60.88,6162.17,0.0
2026-02,1.8,6274.61,0.0
2026-03,6.01,6657.91,0.0
2026-04,-2.41,6495.13,0.0
2026-05,8.21,7036.45,0.0
2026-06,21.42,8564.82,0.0
