strategy,trades,pnl,win_rate,profit_factor,liquidation_events,long_pnl,short_pnl,pnl_2025_12,pnl_2026_04
sparse_0pw_r10_island_2022_000031,33,179801.42099272582,39.39393939393939,4.92739491812509,0,0.0,179801.42099272582,0.0,0.0
sparse_0pw_r11_island_2024_021423,41,176555.93125208997,41.46341463414634,3.221615556184145,0,44634.32184054496,131921.60941154504,26314.23339989991,0.0
sparse_0pw_r07_hyperband_019621,54,124750.3486303152,55.55555555555556,1.6681248714534573,0,60580.90572020193,64169.442910113285,-8034.888754609217,-7712.965591036231
freq_4pw_r02_hyperband_004678,389,120553.90301040956,33.933161953727506,1.6120716807162172,0,0.0,120553.90301040956,-6271.897867789404,8382.005023986685
sparse_0pw_r12_hyperband_017877,68,99239.69854141324,42.64705882352941,2.2500949695985306,3,74307.27678812228,24932.421753290953,0.0,-15945.033883199943
freq_4pw_r03_catcma_011465,267,51693.170106026264,25.842696629213485,1.339532163284544,1,33111.98750891181,18581.182597114457,-12161.937817901235,-3803.664630149987
freq_4pw_r11_island_2024_002436,17,51026.40050404346,29.411764705882355,2.1763440121531983,0,40405.4715754372,10620.92892860624,0.0,0.0
freq_4pw_r09_hyperband_010009,14,37580.3546352257,57.14285714285714,4.539338701893414,1,12543.244208935768,25037.11042628993,0.0,0.0
sparse_0pw_r09_catcma_013114,17,25849.476342968446,52.94117647058824,3.50301046933889,0,25849.476342968446,0.0,0.0,0.0
sparse_0pw_r06_hyperband_001552,35,-10568.755364629389,31.428571428571427,0.9282127502615297,0,-37092.18113890232,26523.425774272924,-11683.81239479996,2802.126555600117
