section,group,metric,value
summary,all,trades,935.0
summary,all,closed_trades,935.0
summary,all,open_trades,0.0
summary,all,duration_hours_mean,17.613493761140823
summary,all,duration_hours_p50,9.15
summary,all,duration_hours_p95,75.27166666666666
summary,all,trades_per_day,0.5664092079357868
exit_reason,liquidation,count,5.0
exit_reason,liquidation,share,0.0053475935828877
exit_reason,stop_loss,count,622.0
exit_reason,stop_loss,share,0.66524064171123
exit_reason,take_profit,count,189.0
exit_reason,take_profit,share,0.2021390374331551
exit_reason,trailing_stop,count,64.0
exit_reason,trailing_stop,share,0.06844919786096257
exit_reason,ttl_expired,count,55.0
exit_reason,ttl_expired,share,0.058823529411764705
side_exit_reason,long:liquidation,count,1.0
side_exit_reason,long:stop_loss,count,111.0
side_exit_reason,long:take_profit,count,37.0
side_exit_reason,long:trailing_stop,count,12.0
side_exit_reason,long:ttl_expired,count,26.0
side_exit_reason,short:liquidation,count,4.0
side_exit_reason,short:stop_loss,count,511.0
side_exit_reason,short:take_profit,count,152.0
side_exit_reason,short:trailing_stop,count,52.0
side_exit_reason,short:ttl_expired,count,29.0
side_pnl,long,count,187.0
side_pnl,long,sum,254340.5028462201
side_pnl,long,mean,1360.1096408888775
side_pnl,long,median,-290.4830992350004
side_pnl,short,count,748.0
side_pnl,short,sum,602141.4458043682
side_pnl,short,mean,805.0019328935405
side_pnl,short,median,-172.96533140149648
exit_reason_pnl,liquidation,count,5.0
exit_reason_pnl,liquidation,sum,-14132.180058989783
exit_reason_pnl,liquidation,mean,-2826.436011797957
exit_reason_pnl,liquidation,median,-1267.328082173863
exit_reason_pnl,stop_loss,count,622.0
exit_reason_pnl,stop_loss,sum,-929318.2025444831
exit_reason_pnl,stop_loss,mean,-1494.0807114863073
exit_reason_pnl,stop_loss,median,-397.2242242499966
exit_reason_pnl,take_profit,count,189.0
exit_reason_pnl,take_profit,sum,1129073.9717279342
exit_reason_pnl,take_profit,mean,5973.936358348858
exit_reason_pnl,take_profit,median,2043.0985606000036
exit_reason_pnl,trailing_stop,count,64.0
exit_reason_pnl,trailing_stop,sum,432914.6881244227
exit_reason_pnl,trailing_stop,mean,6764.292001944104
exit_reason_pnl,trailing_stop,median,2137.8969405852285
exit_reason_pnl,ttl_expired,count,55.0
exit_reason_pnl,ttl_expired,sum,237943.67140170425
exit_reason_pnl,ttl_expired,mean,4326.248570940077
exit_reason_pnl,ttl_expired,median,1368.9063923917117
margin,all,peak_open_positions,5.0
margin,all,peak_locked_margin,158736.933344
margin,all,peak_locked_margin_pct_initial,1587.3693334399998
margin,all,min_available_balance_before,8867.134534609982
