version,strategy_id,donor_path,name,candidate_id,source_algorithm,rrr,risk_percent,ttl,trail_activation_rrr,trail_distance_atr,filters
v1_all24,freq_4pw_r01_catcma_010978,strategies/archive/post_adr0058_all24_v1/22_freq_4pw_r01_catcma_010978.json,dss_strategy,catcma_010978,catcma_qd_seed777,1.5,0.5,16,1.5,3.25,[]
v1_all24,freq_4pw_r02_hyperband_004678,strategies/archive/post_adr0058_all24_v1/09_freq_4pw_r02_hyperband_004678.json,dss_strategy,hyperband_004678,hyperband_qd_seed4242,3.0,0.5,116,0.0,0.0,[]
v1_all24,freq_4pw_r03_catcma_011465,strategies/archive/post_adr0058_all24_v1/23_freq_4pw_r03_catcma_011465.json,dss_strategy,catcma_011465,catcma_qd_seed777,5.25,0.5,84,5.25,1.75,[]
v1_all24,freq_4pw_r04_catcma_013241,strategies/archive/post_adr0058_all24_v1/18_freq_4pw_r04_catcma_013241.json,dss_strategy,catcma_013241,catcma_qd_seed777,3.5,2.75,96,3.5,5.0,[]
v1_all24,freq_4pw_r05_island_2023_001587,strategies/archive/post_adr0058_all24_v1/16_freq_4pw_r05_island_2023_001587.json,dss_strategy,island_2023_001587,island_qd_seed2026,10.0,2.25,96,10.0,4.5,[]
v1_all24,freq_4pw_r06_hyperband_015967,strategies/archive/post_adr0058_all24_v1/15_freq_4pw_r06_hyperband_015967.json,dss_strategy,hyperband_015967,hyperband_qd_seed4242,2.25,1.0,84,2.25,0.25,[]
v1_all24,freq_4pw_r07_smac_003335,strategies/archive/post_adr0058_all24_v1/17_freq_4pw_r07_smac_003335.json,dss_strategy,smac_003335,smac_qd_seed5151,8.0,0.5,68,0.0,0.0,[]
v1_all24,freq_4pw_r08_catcma_008884,strategies/archive/post_adr0058_all24_v1/06_freq_4pw_r08_catcma_008884.json,dss_strategy,catcma_008884,catcma_qd_seed777,6.0,2.75,24,0.0,0.0,[]
v1_all24,freq_4pw_r09_hyperband_010009,strategies/archive/post_adr0058_all24_v1/03_freq_4pw_r09_hyperband_010009.json,dss_strategy,hyperband_010009,hyperband_qd_seed4242,8.25,3.0,76,8.25,3.75,[]
v1_all24,freq_4pw_r10_hyperband_019141,strategies/archive/post_adr0058_all24_v1/24_freq_4pw_r10_hyperband_019141.json,dss_strategy,hyperband_019141,hyperband_qd_seed4242,3.25,0.5,76,0.0,0.0,[]
