month,return_pct,return_abs_pct
2022-01,6.05,6.05
2022-02,5.51,11.89
2022-03,1.74,13.84
2022-04,4.65,19.14
2022-05,4.85,24.92
2022-06,1.71,27.06
2022-07,10.5,40.41
2022-08,14.0,60.06
2022-09,3.17,65.14
2022-10,-2.7,60.67
2022-11,13.42,82.24
2022-12,-1.3,79.87
2023-01,2.63,84.6
2023-02,2.04,88.37
2023-03,-0.3,87.8
2023-04,0.29,88.34
2023-05,3.05,94.09
2023-06,9.4,112.32
2023-07,-0.05,112.22
2023-08,14.57,143.13
2023-09,2.3,148.72
2023-10,-2.98,141.31
2023-11,2.59,147.56
2023-12,17.18,190.08
2024-01,-3.18,180.86
2024-02,-6.3,163.16
2024-03,-4.06,152.48
2024-04,7.01,170.18
2024-05,4.85,183.28
2024-06,-2.77,175.44
2024-07,7.02,194.79
2024-08,-0.38,193.67
2024-09,-4.95,179.12
2024-10,8.08,201.67
2024-11,4.39,214.92
2024-12,13.75,258.21
