offset_days,periods,total_return_pct,max_drawdown_pct,negative_periods,switches
0,24,295.5901638507514,-8.948726435719323,4,9
1,24,306.7084731946342,-7.160942883888211,2,9
2,24,333.2079031342018,-7.217252800734664,2,9
3,24,363.7536755744191,-6.414393735766122,1,9
4,24,367.2318002301319,-6.94779758191999,1,9
5,24,316.3213046663321,-5.975880832795055,2,9
6,24,307.7133906754674,-5.468944529364805,1,9
7,24,281.7457188513837,-5.582147170887064,2,9
8,24,274.66469342424125,-4.735766807674602,2,9
9,24,234.93125820863756,-4.735766807674602,2,9
10,24,214.0647888054366,-4.429152183751183,4,9
11,23,221.6439023307891,-5.973476261875954,4,8
12,23,222.39454660955803,-4.929684345444718,4,8
13,23,211.28839561105676,-5.260161674409192,4,8
14,23,264.5591713916,-5.787771563758981,4,8
15,23,307.11264647995034,-4.285699356489847,4,8
16,23,308.3405539673491,-3.6704541049154105,2,9
17,23,317.3790482690459,-4.45678216966563,3,9
18,23,301.12264645463654,-3.964158159391107,2,9
19,23,265.33614050899746,-4.491839669236441,2,9
20,23,293.4255626962154,-4.537374647477988,2,9
21,23,292.75403371630307,-2.9105942994090417,2,9
22,23,309.163205366989,-3.455385510580522,2,9
23,23,338.05074369059616,-3.7072965087250656,2,9
24,23,291.82839472430936,-5.340411746965145,3,9
25,23,282.26899097482163,-8.226901782199969,4,9
26,23,294.84171903551163,-9.334340184310976,4,9
27,23,265.25061192539926,-8.389486322748185,3,9
28,23,252.30963525133404,-9.616648768876622,2,9
29,23,248.68705670784576,-9.45938707370203,4,9
