offset_days,periods,total_return_pct,max_drawdown_pct,negative_periods,switches
0,24,252.6279284536527,-6.113031776706923,6,15
1,24,261.0197135209346,-6.113031776706923,5,15
2,24,289.17962424679934,-6.113031776706923,5,15
3,24,350.84653477605644,-6.113031776706923,4,15
4,24,411.5499213264482,-3.950953210627695,5,15
5,24,363.1000511145569,-3.950953210627695,6,15
6,24,397.9410641378712,-3.9509532106277057,3,15
7,24,421.65470268322815,-4.12201249969103,3,15
8,24,478.21787615168967,-5.152627822931477,2,15
9,24,456.334715268111,-4.446438403844177,1,15
10,24,503.8304209145271,-3.53322319997782,3,15
11,23,463.7394775484703,-2.0125048092000664,3,14
12,23,477.4837710533212,-3.21669997568369,3,14
13,23,476.5105660187536,-2.0666244057537253,1,14
14,23,541.4955977989168,-2.066624405753714,1,14
15,23,571.4003887964647,-0.8149571818726553,2,14
16,23,433.2985412774224,-2.3577471328638744,3,14
17,23,412.7638175771447,-4.642358047619377,3,14
18,23,483.76854357171527,-0.5851267406571603,2,14
19,23,491.7331068779741,-1.7066008377392583,2,14
20,23,472.3701482420839,-2.245906223527705,3,14
21,23,499.9167249988552,-2.2454121000771154,2,14
22,23,514.9733429734968,-2.2454121000771265,1,14
23,23,428.6867077074029,-1.694046060498533,3,14
24,23,361.1164494626938,-2.8438031170694438,3,14
25,23,380.6056104564981,-2.6671270860654794,3,14
26,23,340.4126278166005,-2.128567254281799,4,14
27,23,260.897133117204,-6.113031776706923,4,14
28,23,228.86872196121416,-6.113031776706923,4,15
29,23,202.2126744155057,-6.113031776706923,5,15
