action,strategy,v3_pnl
kept,sparse_0pw_r07_hyperband_019621,485914.93698652
kept,freq_4pw_r03_catcma_011465,338939.30298698
kept,freq_4pw_r11_island_2024_002436,156550.70381140
kept,freq_4pw_r09_hyperband_010009,134089.29939666
kept,freq_4pw_r02_hyperband_004678,129283.07952361
kept,sparse_0pw_r12_hyperband_017877,115647.97707875
kept,sparse_0pw_r11_island_2024_021423,53658.45122485
kept,sparse_0pw_r01_smac_018790,2556.00814610
removed,sparse_0pw_r09_catcma_013114,-237349.79213775
removed,sparse_0pw_r06_hyperband_001552,-221044.87211493
removed,freq_4pw_r05_island_2023_001587,-54292.53661287
removed,sparse_0pw_r10_island_2022_000031,-29993.10284706
